original_Store name,original_Address,original_City,original_State,original_Petition File Date (from Store Name),original_NLRB Case Number(s),original_Store Status,original_Vote Count Date,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
Clarksville - Veterans Pkwy & I-65,"1231 Veterans Parkway , Clarksville, IN, 47129",Clarksville,IN,"5/30/2022, 8:00:00 PM",09-RC-296739,Union Win,"7/28/2022, 8:00:00 PM",38.3287121,-85.760522,"Starbucks, 1231 Veterans Parkway, Clarksville, IN 47129, United States of America",Starbucks,1231,Veterans Parkway,,,47129,Clarksville,Clark County,Indiana,IN,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hanley & Dale,"8023 Dale Avenue , Richmond Heights, MO, 63117",Richmond Heights,MO,"5/30/2022, 8:00:00 PM",14-RC-296784,Union Win,"8/9/2022, 8:00:00 PM",38.627751765998426,-90.33186255215655,"8023 Dale Avenue, Richmond Heights, MO 63117, United States of America",,8023,Dale Avenue,,,63117,Richmond Heights,Saint Louis County,Missouri,MO,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Broadway & Devon,"6350 North Broadway , Chicago, IL, 60660",Chicago,IL,"5/30/2022, 8:00:00 PM",13-RC-296747,Union Win,"8/18/2022, 8:00:00 PM",41.9979065,-87.6609190189944,"Starbucks, 6350 North Broadway, Chicago, IL 60660, United States of America",Starbucks,6350,North Broadway,Edgewater,Rogers Park,60660,Chicago,Cook County,Illinois,IL,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
E Main and N Lewis,"1025 E Main St , Carbondale, IL, 62901",Carbondale,IL,"5/26/2022, 8:00:00 PM",14-RC-296646,Union Win,"8/10/2022, 8:00:00 PM",37.72841468844085,-89.20088719693061,"1025 East Main Street, Carbondale, IL 62901, United States of America",,1025,East Main Street,,,62901,Carbondale,Jackson County,Illinois,IL,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lincoln & Jersey - Lincoln Village,"6075 N. Lincoln Ave. , Chicago, IL, 60659",Chicago,IL,"5/25/2022, 8:00:00 PM",13-RC-296481,Union Win,"8/2/2022, 8:00:00 PM",41.9929366,-87.710997,"Starbucks, 6075 North Lincoln Avenue, Chicago, IL 60659, United States of America",Starbucks,6075,North Lincoln Avenue,,North Park,60659,Chicago,Cook County,Illinois,IL,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vestal Parkway,"2540 Vestal Parkway , Vestal, NY, 13850",Vestal,NY,"5/25/2022, 8:00:00 PM",03-RC-296460,Union Win,"8/23/2022, 8:00:00 PM",42.094500350000004,-76.00596463753712,"2540 Vestal Parkway East, Vestal, NY 13850, United States of America",,2540,Vestal Parkway East,,,13850,Town of Vestal,Broome County,New York,NY,United States,us,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Commercial & Oakhill - Salem,"3904 Commercial Street SE , Salem, OR, 97302",Salem,OR,"5/25/2022, 8:00:00 PM",19-RC-296544,Union Win,"8/8/2022, 8:00:00 PM",44.900196,-123.038998,"3904 Commercial Street Southeast, Salem, OR 97302, United States of America",,3904,Commercial Street Southeast,,,97302,Salem,Marion County,Oregon,OR,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mockingbird Station,"5331 E. Mockingbird Lane 150, Dallas, TX, 75206",Dallas,TX,"5/24/2022, 8:00:00 PM",16-RC-296428,Union Win,"8/7/2022, 8:00:00 PM",32.837844,-96.776171,"5331 East Mockingbird Lane, Dallas, TX 75206, United States of America",,5331,East Mockingbird Lane,,Greenville Ave,75206,Dallas,Dallas County,Texas,TX,United States,us,0.63,1,0.63,© OpenAddresses contributors,BSD-3-Clause License,
Cascade Marketplace,"210-21 Southbank Street , Sterling, VA, 20165",Sterling,VA,"5/23/2022, 8:00:00 PM",05-RC-296297,Union Win,"6/27/2022, 8:00:00 PM",39.004137,-77.403039,"Sterling, VA, United States of America",,,,,,,Sterling,Loudoun County,Virginia,VA,United States,us,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
Fairfax & Olympic,"6066 West Olympic Boulevard , Los Angeles, CA, 90036",Los Angeles,CA,"5/23/2022, 8:00:00 PM",31-RC-296439,Union Win,"8/2/2022, 8:00:00 PM",34.05799281632653,-118.36218489795918,"6066 West Olympic Boulevard, Los Angeles, CA 90036, United States of America",,6066,West Olympic Boulevard,Little Ethiopia,,90036,Los Angeles,Los Angeles County,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Liberty & Baum - Courtyard,"5310 Liberty Avenue , Pittsburgh, PA, 15224",Pittsburgh,PA,"5/19/2022, 8:00:00 PM",06-RC-296143,Union Win,"7/25/2022, 8:00:00 PM",40.4557792,-79.9394926,"Starbucks, 5310 Liberty Avenue, Pittsburgh, PA 15224, United States of America",Starbucks,5310,Liberty Avenue,Bloomfield,,15224,Pittsburgh,Allegheny County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Iowa & University,"1303 University Avenue , Riverside, CA, 92507",Riverside,CA,"5/19/2022, 8:00:00 PM",21-RC-296247,Union Win,"7/28/2022, 8:00:00 PM",33.975773861292176,-117.34007995911723,"1303 University Avenue, Riverside, CA 92507, United States of America",,1303,University Avenue,,,92507,Riverside,Riverside County,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Figueroa & Cypress,"3241 N Figueroa Street , Los Angeles, CA, 90065",Los Angeles,CA,"5/18/2022, 8:00:00 PM",31-RC-296098,Union Win,"8/1/2022, 8:00:00 PM",34.085917959183675,-118.21985414285714,"3241 N Figueroa Street, Los Angeles, CA 90065, United States of America",,3241,N Figueroa Street,Dayton Avenue,Lincoln Heights,90065,Los Angeles,Los Angeles County,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lenwood Road & Mercantile Way,"2489 Lenwood Blvd. , Barstow, CA, 92311",Barstow,CA,"5/16/2022, 8:00:00 PM",31-RC-295959,Union Win,"7/26/2022, 8:00:00 PM",34.8957684,-117.0172077,"Barstow, CA, United States of America",,,,,,,Barstow,San Bernardino County,California,CA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Greengate Centre,"2540 Greengate Centre Circle , Greensburg, PA, 15601",Greensburg,PA,"5/15/2022, 8:00:00 PM",06-RC-295875,Union Win,"6/20/2022, 8:00:00 PM",40.3014581,-79.5389289,"Greensburg, PA 15601, United States of America",,,,,,15601,Greensburg,Westmoreland County,Pennsylvania,PA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bolsa & Edwards,"6502 Bolsa Avenue #101, Huntington Beach, CA, 92647",Huntington Beach,CA,"5/11/2022, 8:00:00 PM",21-RC-295771,Union Win,"7/21/2022, 8:00:00 PM",33.744260448944104,-118.015529771097,"6502 Bolsa Avenue, Huntington Beach, CA 92655, United States of America",,6502,Bolsa Avenue,,,92655,Huntington Beach,Orange County,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alfred St,"360 Alfred St , Biddeford, ME, 4005",Biddeford,ME,"5/11/2022, 8:00:00 PM",01-RC-295712,Union Win,"7/13/2022, 8:00:00 PM",43.4831319,-70.4724121,"Starbucks, 360 Alfred Street, Biddeford, ME 04005, United States of America",Starbucks,360,Alfred Street,Five Points,,04005,Biddeford,York County,Maine,ME,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vernon,"135 Talcottville Road , Vernon, CT, 6066",Vernon,CT,"5/11/2022, 8:00:00 PM",01-RC-295710,Union Win,"7/13/2022, 8:00:00 PM",41.8304357,-72.4959314,"135 Talcottville Road, Vernon, CT 06066, United States of America",,135,Talcottville Road,,,06066,Vernon,Tolland County,Connecticut,CT,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cordata Center,"4303 Guide Meridian 101, Bellingham, WA, 98226",Bellingham,WA,"5/8/2022, 8:00:00 PM",19-RC-295481,Union Win,"7/5/2022, 8:00:00 PM",48.7544012,-122.478836,"Bellingham, WA, United States of America",,,,,,,Bellingham,Whatcom County,Washington,WA,United States,us,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
